version_id,content_id,value
1,1,1
1,2,2
1,3,Sistema de trazabilidad agrícola basado en tecnología blockchain para exportación
1,4,"El proyecto es viable técnica y económicamente, ya que existen plataformas blockchain de código abierto que pueden ser adaptadas al sector agrícola, y hay creciente demanda de trazabilidad en exportación."
1,5,"El proyecto se alinea con las líneas de investigación en transformación digital y sostenibilidad agrícola, promoviendo el uso de tecnologías emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingeniería de Sistemas."
1,6,Si hay docentes disponibles
1,7,"Existe una correspondencia clara entre el título y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agrícola. El título refleja adecuadamente el alcance del objetivo general y el lenguaje es técnico y pertinente."
1,8,Diseñar e implementar un sistema de trazabilidad agrícola basado en tecnología blockchain que garantice la autenticidad y el origen de los productos destinados a exportación.
1,9,"Diseño e implementación de un sistema de registro y seguimiento de productos agrícolas orientado a la exportación, utilizando blockchain para garantizar transparencia y autenticidad."
2,1,2
2,2,4
2,3,Asistente virtual inteligente para analizar emociones en centros de atención telefónica
2,4,"La implementación es viable debido al avance de tecnologías de procesamiento de voz y modelos de aprendizaje automático, así como la disponibilidad de bibliotecas especializadas y datos etiquetados."
2,5,"Pertinente para grupos centrados en inteligencia artificial aplicada a la experiencia de usuario y tecnologías de interacción hombre-máquina, integrando áreas clave del programa como aprendizaje automático y procesamiento de lenguaje."
2,6,Si hay docentes disponibles
2,7,"El título y el objetivo están bien alineados, mostrando coherencia en el enfoque hacia la implementación de un sistema inteligente para análisis emocional en llamadas, con claridad y precisión en el planteamiento."
2,8,"Desarrollar un asistente virtual inteligente capaz de analizar en tiempo real las emociones de los usuarios en llamadas de atención al cliente, con el fin de mejorar la calidad del servicio."
2,9,"Desarrollo de un asistente virtual que analiza la voz de los clientes en tiempo real para identificar emociones y estados de ánimo, con el fin de mejorar la calidad del servicio."
3,1,1
3,2,3
3,3,Aplicación móvil para agricultores: monitoreo de cultivos mediante sensores y satélites
3,4,"Es viable gracias a la existencia de APIs satelitales gratuitas (como Copernicus y NASA) y sensores de bajo costo compatibles con dispositivos móviles, lo cual reduce barreras de entrada para agricultores."
3,5,"Tiene pertinencia con líneas de investigación en IoT y sistemas móviles aplicados al desarrollo rural y agrícola, lo que refuerza el enfoque del programa hacia soluciones tecnológicas con impacto social."
3,6,Si hay docentes disponibles
3,7,"El título resume de manera efectiva la propuesta planteada en el objetivo, que se basa en el desarrollo de una app para agricultores. Existe una relación directa entre el lenguaje técnico y la finalidad del proyecto."
3,8,"Crear una aplicación móvil que permita a los agricultores monitorear el estado de sus cultivos a través de sensores y datos satelitales, facilitando la toma de decisiones técnicas."
3,9,"Creación de una app que integra datos de sensores y satélites para ayudar a los agricultores a monitorear variables clave como humedad, temperatura y estado de los cultivos."
4,1,2
4,2,2
4,3,Modelo predictivo basado en IA para prevenir fallos en maquinaria industrial pesada
4,4,La viabilidad es alta debido al fácil acceso a grandes volúmenes de datos de maquinaria industrial y a la madurez de frameworks de inteligencia artificial aplicables a mantenimiento predictivo.
4,5,"El proyecto se relaciona con la investigación en mantenimiento inteligente y análisis predictivo, promoviendo la aplicación de IA en la industria, eje fundamental del programa de ingeniería y transformación digital."
4,6,Si hay docentes disponibles
4,7,"El objetivo y el título están bien formulados y guardan correspondencia, ya que ambos abordan la aplicación de modelos predictivos para anticipar fallos en maquinaria. Se evidencia claridad y consistencia terminológica."
4,8,"Diseñar un modelo predictivo utilizando inteligencia artificial que permita anticipar fallos en maquinaria industrial, optimizando los procesos de mantenimiento preventivo."
4,9,Implementación de un sistema predictivo utilizando machine learning que analiza patrones de uso y fallas anteriores para anticipar problemas en maquinaria industrial crítica.
5,1,2
5,2,2
5,3,Uso de deep learning en la optimización dinámica de rutas de entrega urbana
5,4,"El proyecto es viable ya que puede integrarse con sistemas GPS y plataformas de análisis de tráfico abiertas, y se beneficia del aumento del comercio electrónico que requiere logística eficiente."
5,5,"Se vincula con el estudio de sistemas inteligentes aplicados a problemas reales de logística urbana, área de interés para el grupo de investigación en ciencia de datos e ingeniería aplicada."
5,6,Si hay docentes disponibles
5,7,"Se observa una correspondencia clara entre lo que el título comunica y lo que el objetivo pretende alcanzar. Ambos destacan el uso de redes neuronales para mejorar rutas urbanas, manteniendo una alta calidad técnica."
5,8,Desarrollar un sistema de optimización dinámica de rutas de entrega urbana empleando redes neuronales y análisis de variables contextuales en tiempo real.
5,9,"Desarrollo de un algoritmo que optimiza en tiempo real las rutas de distribución en zonas urbanas, utilizando redes neuronales y datos de tráfico, clima y entregas."
6,2,2
6,3,Digital twins aplicados a la automatización y eficiencia en centros logísticos
6,8,"Implementar un sistema de gemelos digitales para simular y mejorar procesos logísticos, contribuyendo a la automatización y eficiencia de operaciones en centros de distribución."
6,9,"Investigación sobre el uso de gemelos digitales para replicar procesos logísticos, mejorar la toma de decisiones y reducir errores en centros de distribución."
7,3,Herramienta de análisis forense digital para investigar incidentes de ciberseguridad
7,8,"Diseñar una herramienta digital que permita la recolección y análisis de evidencia en incidentes de ciberseguridad, apoyando el trabajo forense de investigadores y profesionales en seguridad informática."
7,9,"Diseño de una herramienta basada en software libre que permita recolectar, analizar y presentar evidencia digital tras un ciberataque, facilitando procesos forenses."
8,3,Sistema de alerta temprana de deserción escolar mediante inteligencia artificial
8,8,Construir un sistema de alerta temprana basado en inteligencia artificial que identifique estudiantes con riesgo de deserción escolar y proponga estrategias de retención educativa.
8,9,"Desarrollo de un sistema que utiliza IA para identificar estudiantes en riesgo de abandono escolar, basado en patrones de asistencia, rendimiento y comportamiento."
9,3,Solución web inteligente para la recolección y clasificación de residuos urbanos
9,8,"Desarrollar una solución web inteligente para optimizar la gestión y trazabilidad de residuos sólidos urbanos mediante tecnologías de registro, clasificación y seguimiento."
9,9,"Implementación de una plataforma web que conecta ciudadanos y gestores de residuos para facilitar la clasificación, recolección y trazabilidad de desechos en ciudades."
10,3,Recomendador inteligente de formación académica usando perfiles y trayectorias previas
10,8,Diseñar un sistema de recomendación académico que sugiera cursos y trayectorias formativas personalizadas a partir del análisis de datos académicos y preferencias individuales.
10,9,"Diseño de un sistema de recomendación académica que sugiere cursos o carreras personalizadas según habilidades, intereses y antecedentes educativos del estudiante."
11,1,2
11,2,2
11,3,Blockchain aplicado al control de calidad y origen en cadenas agroalimentarias
11,4,"El proyecto es viable técnica y económicamente, ya que existen plataformas blockchain de código abierto que pueden ser adaptadas al sector agrícola, y hay creciente demanda de trazabilidad en exportación."
11,5,"El proyecto se alinea con las líneas de investigación en transformación digital y sostenibilidad agrícola, promoviendo el uso de tecnologías emergentes en procesos agroindustriales, en coherencia con los objetivos del programa de Ingeniería de Sistemas."
11,6,Si hay docentes disponibles
11,7,"Existe una correspondencia clara entre el título y el objetivo del proyecto, ya que ambos se centran en aplicar blockchain a la trazabilidad agrícola. El título refleja adecuadamente el alcance del objetivo general y el lenguaje es técnico y pertinente."
11,8,Diseñar e implementar un sistema de trazabilidad agrícola basado en tecnología blockchain que garantice la autenticidad y el origen de los productos destinados a exportación.
