research_group_id,name,description
1,"Robótica, Control y Procesado de Señal","Fomentar el desarrollo de sistemas de control de procesos y robótica, basado en soluciones de hardware y software, con el fin de satisfacer las necesidades de la academia y de la industria."
1,Telecomunicaciones,"Desarrollo de proyectos de investigación que permitan conocer, profundizar y evaluar conceptos y tecnologías de Telecomunicaciones y radiocomunicación como son los fenómenos de propagación electromagnética, antenas, microondas, propagación inalámbrica, telecomunicaciones móviles, modelos de radiopropagación, redes de sensores inalámbricos, gestión de espectro; con el propósito de desarrollar aplicaciones hardware- software que resuelvan problemas de gran impacto social y económico en la región y el país."
2,Ingeniería del Software,"Esta línea de investigación estudia el rasgo distintivo del programa de pregrado en Ingeniería de Sistemas de la UDI. Aborda los métodos de ingeniería, estándares y restricciones aplicados al desarrollo de software y su evolución permanente bajo la influencia de la academia y la industria del software."
2,Sistemas de Información,"Aborda el componente organizacional de la incorporación de tecnologías de la información, correspondiente a la articulación entre el programa de pregrado en Ingeniería de Sistemas, la Especialización en Seguridad Informática, y la Maestría en Gestión de Tecnologías de la Información."
2,Nuevas tecnologías aplicadas a la educación,"Línea para proyectos de investigación aplicada y formativa en desarrollo e incorporación de Tecnologías de la Información en procesos educativos, cuyos requerimientos impliquen la visión y los modelos de desarrollo de ingeniería."
3,Gestión competitiva de la cadena de suministros,"Esta línea se orienta a la caracterización y diseño de procesos productivos en las áreas funcionales de las organizaciones de la región para mejorar su desempeño e incrementar su productividad, fortaleciendo la relación Universidad-Organización."
4,"Ciencias naturales, medio ambiente y desarrollo sostenible","Esta línea de investigación es acorde con las áreas cubiertas por el Departamento de Ciencias Básicas y Humanas de la UDI se enfoca en el estudio e investigación de las variables medio ambientales, cuidado del medio ambiente, impacto ambiental y sostenibilidad de procesos productivos, alternativas para la gestión y valorización de desechos y energías renovables."
4,Educación y competencias Ciudadanas,"Esta línea de investigación se enfoca en estudiar problemas de educación tales como: políticas públicas sobre educación, estrategias pedagógicas sobre la lectura y escritura, desarrollo y apropiación de las competencias ciudadanas, problemas éticos y de sociedad que surgen a partir de la interacción con los otros."
4,Investigación y desarrollo en Física teórica y experimental,"Esta línea de investigación está enfocada en el desarrollo de productos de investigación en el área de Física, desde la investigación teórica, pasando por la simulación en condiciones ideales hasta la investigación experimental buscando el desarrollo de sistemas funcionales."
4,"Pedagogía, Didáctica e Innovación en el proceso de la Enseñanza y el Aprendizaje","Esta línea se enfoca en el desarrollo de estrategias pedagógicas y didácticas para el mejoramiento del proceso enseñanza aprendizaje en todas las áreas del conocimiento; así mismo, la implementación de las tecnologías de la información y la comunicación aplicadas en el aula."
4,"Química analítica, experimental y aplicada","Esta línea está enfocada en el desarrollo de métodos analíticos, fisicoquímicos, técnicas, procesos y soluciones para su aplicación en diferentes campos (farmacéutica, biotecnología, etc)."
5,"Diseño, imágen y comunicación visual","Construir conceptos que permitan la creación y consolidación de una cultura de identidad gráfica de las instituciones y productos, a favor del desarrollo local, regional y nacional. Complementar los estudios de mercadeo y aportar herramientas que contribuyan al desarrollo visual publicitario. Disminuir la contaminación visual a través del desarrollo de instrumentos y propuestas publicitarias alternas. Estudiar los diferentes modelos de comunicación humana a través de los medios y modos de comunicación, facilitando la creación de estrategias que permitan al diseño acoplarse eficazmente a las nuevas tendencias comunicacionales."
